Date,Open,High,Low,Close,Adj Close,Volume
2012-01-20,244.750000,245.899994,235.000000,244.350006,229.735611,336716
2012-01-23,245.000000,245.000000,240.324997,241.949997,227.479156,329456
2012-01-24,243.500000,246.500000,240.050003,244.250000,229.641586,500696
2012-01-25,244.500000,246.300003,241.000000,245.050003,230.393768,364730
2012-01-27,250.500000,250.524994,240.250000,241.800003,227.338135,268148
2012-01-30,240.649994,241.425003,236.750000,239.524994,225.199173,135300
2012-01-31,241.000000,247.125000,240.425003,245.449997,230.769806,185932
2012-02-01,245.524994,249.750000,240.899994,248.350006,233.496368,738414
2012-02-02,250.000000,250.000000,245.850006,248.899994,234.013489,747258
2012-02-03,247.449997,254.000000,247.449997,253.175003,238.032791,560782
2012-02-06,254.500000,257.924988,250.250000,253.350006,238.197327,390098
2012-02-07,254.500000,257.450012,253.675003,254.824997,239.584106,602470
2012-02-08,256.000000,258.125000,251.425003,254.000000,238.808441,517696
2012-02-09,254.000000,262.750000,252.875000,261.075012,245.460312,804416
2012-02-10,261.000000,262.850006,256.924988,258.100006,242.663254,628492
2012-02-13,259.500000,262.500000,258.000000,261.000000,245.389801,760898
2012-02-14,261.649994,261.649994,257.600006,258.850006,243.368393,187096
2012-02-15,260.725006,267.325012,258.799988,266.475006,250.537338,750856
2012-02-16,265.000000,268.750000,261.674988,263.100006,247.364197,287370
2012-02-17,266.000000,267.500000,260.325012,263.774994,247.998810,439736
2012-02-21,263.049988,266.200012,260.325012,265.549988,249.667648,857996
2012-02-22,265.000000,269.424988,263.000000,265.875000,249.973221,584450
2012-02-23,264.350006,267.500000,263.174988,265.899994,249.996704,194338
2012-02-24,264.500000,267.500000,258.024994,262.250000,246.565018,245372
2012-02-27,262.549988,265.424988,255.175003,256.649994,241.299942,336824
2012-02-28,258.500000,266.575012,256.950012,265.100006,249.244598,368694
2012-02-29,266.174988,270.000000,257.500000,258.899994,243.415359,263736
2012-03-01,256.524994,261.149994,253.000000,257.075012,241.699554,689190
2012-03-02,257.625000,262.450012,254.199997,259.149994,243.650406,177084
2012-03-03,null,null,null,null,null,null
2012-03-05,257.674988,259.225006,252.774994,255.649994,240.359772,554452
2012-03-06,254.000000,260.450012,251.500000,253.800003,238.620438,239178
2012-03-07,253.800003,253.800003,253.800003,253.800003,238.620438,0
2012-03-09,261.500000,263.625000,259.950012,261.424988,245.789337,236332
2012-03-12,266.500000,266.500000,258.500000,259.924988,244.379074,198922
2012-03-13,262.500000,263.700012,260.475006,262.399994,246.706055,566130
2012-03-14,264.500000,265.000000,261.000000,263.524994,247.763763,1018846
2012-03-15,263.500000,265.000000,254.725006,255.475006,240.195251,269878
2012-03-16,256.000000,262.149994,252.500000,253.850006,238.667450,243710
2012-03-19,254.000000,254.800003,247.524994,249.324997,234.413055,172568
2012-03-20,250.000000,254.850006,246.600006,252.425003,237.327667,136116
2012-03-21,251.000000,258.750000,251.000000,257.700012,242.287140,485664
2012-03-22,256.850006,260.750000,250.000000,251.300003,236.269958,354172
2012-03-23,252.949997,259.350006,251.125000,256.924988,241.558502,168036
2012-03-26,258.399994,258.399994,253.000000,255.274994,240.007202,126240
2012-03-27,256.149994,260.500000,255.500000,259.024994,243.532883,344674
2012-03-28,259.000000,259.500000,255.000000,256.649994,241.299942,304876
2012-03-29,255.050003,256.500000,253.449997,255.350006,240.077713,197554
2012-03-30,255.500000,261.674988,254.850006,260.024994,244.473083,1999872
2012-04-02,259.100006,264.200012,257.850006,263.549988,247.787308,453096
2012-04-03,264.950012,268.200012,260.375000,264.899994,249.056534,362014
2012-04-04,263.350006,264.325012,262.000000,263.299988,247.552216,76990
2012-04-09,262.000000,263.299988,260.350006,261.475006,245.836380,78264
2012-04-10,261.000000,263.250000,258.000000,262.250000,246.565018,118926
2012-04-11,259.825012,265.000000,258.750000,263.125000,247.387680,142596
2012-04-12,264.475006,267.399994,263.000000,265.200012,249.338638,115442
2012-04-13,267.500000,268.500000,262.500000,265.125000,249.268112,242908
2012-04-16,264.500000,265.600006,262.200012,264.799988,248.962524,144342
2012-04-17,264.750000,267.950012,260.750000,265.424988,249.550125,348076
2012-04-18,267.049988,269.924988,267.049988,268.450012,252.394241,424386
2012-04-19,269.500000,277.725006,268.799988,277.100006,260.526917,697144
2012-04-20,276.450012,278.850006,273.125000,275.549988,259.069550,430598
2012-04-23,275.549988,277.975006,271.500000,272.450012,256.154968,229260
2012-04-24,275.000000,275.000000,268.049988,270.850006,254.650665,117596
2012-04-25,273.000000,274.625000,269.100006,273.450012,257.095215,263908
2012-04-26,272.500000,274.975006,269.049988,270.274994,254.110031,103160
2012-04-27,271.950012,273.000000,267.250000,270.274994,254.110031,127436
2012-04-30,270.274994,270.274994,270.274994,270.274994,254.110031,0
2012-05-02,271.000000,275.725006,271.000000,274.899994,258.458466,281156
2012-05-03,275.000000,278.475006,272.950012,276.274994,259.751160,436624
2012-05-04,276.000000,276.649994,267.250000,268.375000,252.323730,161182
2012-05-07,265.000000,267.325012,258.125000,266.075012,250.161285,411130
2012-05-08,267.100006,268.225006,256.500000,257.725006,242.310669,195160
2012-05-09,257.500000,261.375000,253.274994,256.225006,240.900375,242708
2012-05-10,255.274994,260.899994,255.149994,258.375000,242.921814,331718
2012-05-11,257.975006,259.399994,253.600006,255.399994,240.124725,520110
2012-05-14,255.500000,256.000000,247.250000,250.250000,235.282730,258514
2012-05-15,248.250000,252.500000,248.000000,249.524994,234.601074,266372
2012-05-16,248.000000,249.399994,243.000000,247.574997,232.767746,646090
2012-05-17,247.899994,253.199997,247.500000,248.675003,233.801956,160694
2012-05-18,247.500000,252.000000,244.750000,250.225006,235.259247,221840
2012-05-21,250.500000,253.500000,246.774994,248.725006,233.848953,124074
2012-05-22,252.000000,252.475006,243.500000,244.524994,229.900131,184652
2012-05-23,245.524994,246.449997,241.149994,243.500000,228.936432,171954
2012-05-24,245.000000,251.175003,243.524994,249.524994,234.601074,188664
2012-05-25,249.824997,251.750000,248.125000,250.175003,235.212234,314354
2012-05-28,249.500000,254.475006,249.500000,253.975006,238.784943,119328
2012-05-29,256.000000,256.000000,251.000000,252.300003,237.210144,123420
2012-05-30,251.000000,252.399994,248.274994,250.324997,235.353226,96452
2012-05-31,250.500000,254.324997,247.750000,252.975006,237.844757,383070
2012-06-01,254.024994,254.024994,245.000000,245.725006,231.028381,223196
2012-06-04,244.000000,249.774994,242.550003,248.399994,233.543381,248974
2012-06-05,250.000000,252.500000,249.475006,250.899994,235.893860,542622
2012-06-06,253.000000,260.825012,252.000000,259.674988,244.144028,252150
2012-06-07,262.000000,269.424988,261.500000,268.625000,252.558792,285300
2012-06-08,269.000000,271.125000,265.350006,269.149994,253.052292,230502
2012-06-11,271.125000,274.000000,268.500000,269.774994,253.639954,154642
2012-06-12,270.000000,275.500000,268.975006,274.774994,258.340942,305092
2012-06-13,274.774994,276.200012,270.049988,271.350006,255.120743,773228
2012-06-14,268.750000,273.500000,266.375000,267.200012,251.219009,169378
2012-06-15,265.075012,274.500000,265.075012,273.924988,257.541748,108332
2012-06-18,274.500000,275.274994,264.950012,266.500000,250.560806,187616
2012-06-19,267.500000,269.950012,263.000000,268.549988,252.488205,174888
2012-06-20,269.100006,270.100006,264.575012,267.250000,251.266037,117274
2012-06-21,266.500000,272.500000,265.899994,271.500000,255.261780,570012
2012-06-22,270.000000,272.549988,268.000000,272.075012,255.802475,159250
2012-06-25,272.549988,274.399994,267.500000,268.625000,252.558792,221894
